0.27,1.82,11.80,-1.65,0.71,0.58,5.3
-0.20,2.80,9.27,0.44,0.31,-0.08,5.4
0.41,1.84,9.92,0.01,-0.04,-0.17,5.5
-2.07,3.23,9.85,0.34,0.27,-0.13,5.6
-1.27,4.05,7.62,0.94,0.02,-0.18,5.7
-0.51,3.75,8.20,0.00,-0.28,-0.17,5.8
-2.32,3.56,9.56,-0.28,0.38,-0.45,5.9
-1.16,3.04,9.08,0.00,0.04,0.10,6
-1.81,3.53,10.45,0.08,-0.05,0.01,6.1
-1.14,4.19,6.94,1.37,-0.76,-0.09,6.2
-0.18,4.90,7.64,0.48,-0.40,0.00,6.3
-0.84,4.45,9.15,-0.34,0.14,0.00,6.4
-0.20,4.26,8.92,-0.27,0.00,0.02,6.5
-0.69,4.59,8.34,0.15,0.09,-0.08,6.6
-0.53,4.44,8.57,-0.12,0.06,0.05,6.7
-0.30,4.36,8.49,-0.02,-0.11,0.02,6.8
-0.58,4.53,8.67,0.12,0.11,-0.05,6.9
-0.74,4.69,8.42,0.07,0.01,-0.06,7
-0.61,4.62,8.68,-0.06,0.00,0.01,7.1
-0.52,4.50,8.49,-0.01,-0.12,0.02,7.2
-0.26,4.26,8.77,-0.08,0.03,0.01,7.3
-1.10,4.55,8.67,0.05,0.29,-0.07,7.4
-0.53,4.35,8.38,-0.03,-0.06,0.06,7.5
-0.57,4.41,8.62,-0.05,-0.02,0.02,7.6
-0.83,4.43,8.57,-0.02,0.03,-0.01,7.7
-0.67,4.37,8.47,-0.04,0.01,0.00,7.8
-0.84,4.40,8.92,-0.05,-0.01,-0.01,7.9
-0.69,4.32,8.70,0.04,0.01,0.01,8
-0.78,4.42,8.69,0.03,0.02,-0.02,8.1
-0.87,4.45,8.70,0.04,0.01,-0.01,8.2
-0.73,4.47,8.62,0.02,0.00,0.00,8.3
-0.84,4.51,8.52,0.02,0.00,-0.01,8.4
-0.79,4.48,8.60,-0.01,-0.01,0.00,8.5
-0.72,4.45,8.49,0.00,0.00,-0.01,8.6
-0.85,4.46,8.63,0.01,0.00,-0.01,8.7
-0.73,4.46,8.73,0.03,-0.02,-0.01,8.8
-0.77,4.53,8.49,0.02,-0.01,-0.02,8.9
-0.65,4.45,8.45,-0.05,-0.02,0.00,9
-0.79,4.52,8.62,-0.03,-0.01,0.00,9.1
-0.71,4.48,8.79,-0.02,-0.01,0.00,9.2
-0.75,4.51,8.51,0.05,-0.03,-0.01,9.3
-0.70,4.47,8.69,0.00,0.01,-0.01,9.4
-0.74,4.55,8.60,0.02,0.02,-0.01,9.5
-0.75,4.53,8.54,0.05,0.01,0.00,9.6
-0.77,4.58,8.49,0.02,0.00,-0.01,9.7
-0.77,4.54,8.57,0.00,0.00,0.00,9.8
-0.74,4.56,8.49,0.00,0.00,0.00,9.9
-0.72,4.54,8.53,-0.01,0.00,-0.01,10
-0.80,4.57,8.60,-0.01,0.00,0.01,10.1
-0.79,4.54,8.62,-0.01,-0.01,0.00,10.2
-0.78,4.54,8.64,-0.01,0.00,0.00,10.3
-0.67,4.57,8.45,0.01,0.00,0.00,10.4
-0.79,4.56,8.37,-0.03,-0.01,0.00,10.5
-0.69,4.52,8.47,-0.01,-0.01,0.00,10.6
-0.71,4.55,8.59,-0.01,0.01,-0.02,10.7
-0.98,4.70,8.57,0.05,0.03,-0.03,10.8
-0.51,4.58,8.58,0.01,-0.04,0.03,10.9
-1.00,4.65,8.98,-0.01,-0.02,-0.03,11
-1.07,4.91,9.26,0.16,-0.07,-0.02,11.1
-0.42,5.11,7.66,0.54,-0.33,0.11,11.2
0.17,5.09,8.54,0.16,-0.04,0.14,11.3
-0.06,5.33,7.90,0.19,-0.06,-0.11,11.4
-0.02,5.32,9.33,0.10,0.04,0.06,11.5
-0.32,5.85,7.93,-0.13,-0.47,0.14,11.6
-1.19,6.62,6.35,0.34,-0.04,-0.06,11.7
0.13,5.76,8.46,0.19,0.37,0.53,11.8
0.12,6.16,7.48,0.15,0.12,0.13,11.9
-0.72,6.67,7.45,0.13,0.25,-0.07,12
0.64,6.26,7.30,-0.03,-0.23,0.12,12.1
-0.19,6.26,7.62,0.02,0.04,-0.10,12.2
0.07,6.26,7.06,0.05,-0.02,-0.08,12.3
-0.53,6.36,7.52,-0.07,0.06,-0.07,12.4
-0.59,6.44,7.68,0.04,0.04,-0.04,12.5
-0.22,6.42,7.59,-0.04,-0.02,0.11,12.6
0.20,6.16,7.89,-0.10,-0.06,0.05,12.7
-0.62,6.31,7.32,0.05,-0.01,-0.07,12.8
-0.37,6.21,7.31,-0.09,-0.08,0.01,12.9
0.12,6.02,7.73,-0.26,-0.10,0.13,13
0.73,5.60,8.20,-0.26,-0.53,0.15,13.1
1.04,5.70,8.54,-0.26,-0.72,0.06,13.2
1.32,5.52,8.01,0.02,-0.16,0.01,13.3
1.12,5.46,7.97,-0.05,0.09,-0.01,13.4
0.86,5.63,7.69,0.04,0.00,-0.05,13.5
1.00,5.47,8.24,-0.01,0.10,0.02,13.6
1.02,5.64,8.05,0.03,0.04,-0.01,13.7
0.92,5.58,7.90,0.03,0.06,-0.01,13.8
0.85,5.70,7.89,0.06,0.05,-0.02,13.9
0.81,5.85,7.93,0.09,0.01,-0.04,14
0.87,5.74,7.39,0.04,0.01,0.07,14.1
0.98,5.66,8.86,-0.19,0.04,0.04,14.2
0.68,5.87,7.85,0.25,0.21,-0.11,14.3
-0.56,4.47,8.24,0.12,0.13,-0.11,14.4
-0.86,5.06,8.47,0.00,0.04,-0.07,14.5
0.87,5.36,8.96,0.07,0.17,0.26,14.6
0.85,5.92,7.01,0.54,0.42,0.24,14.7
0.93,6.25,7.58,0.13,0.32,0.38,14.8
1.07,6.64,7.86,-0.15,0.22,0.38,14.9
1.00,6.48,7.27,0.23,0.21,0.06,15
